SE,MG,ALFENAS,REVAMAR LOPES LTDA,02.674.176/0001-54,AVENIDA GOVERNADOR VALADARES,327,,CENTRO,37130-027,GASOLINA,02/01/2025,"5,88",,R$ / litro,BRANCA
SE,MG,BELO HORIZONTE,POSTO SAO JOAO COMB E LUBR LTDA,17.187.832/0001-61,RUA DESEMBARGADOR BARCELOS,196,,CALAFATE,30480-250,GASOLINA,01/01/2025,"5,99",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO TOCANTINS LTDA,17.462.474/0001-58,AVENIDA DO CONTORNO,1955,,FLORESTA,30110-008,GASOLINA,01/01/2025,"5,99",,R$ / litro,VIBRA
SE,MG,BELO HORIZONTE,POSTO DE COMBUSTIVEIS SANTO AGOSTINHO LTDA,06.349.404/0001-71,AVENIDA AMAZONAS,2381,,SANTO AGOSTINHO,30180-002,GASOLINA,01/01/2025,"5,99",,R$ / litro,BRANCA
SE,MG,BELO HORIZONTE,POSTO CN LTDA,07.362.678/0001-63,AVENIDA CRISTIANO MACHADO,1383,,DA GRACA,31140-660,GASOLINA,01/01/2025,"5,99",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO ALLGAS LTDA,05.351.360/0001-51,AVENIDA SARAMENHA,1632,,GUARANI,31840-220,GASOLINA,01/01/2025,"6,17",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO PAULISTINHA LTDA,01.438.754/0001-90,AVENIDA NOSSA SENHORA DE FATIMA,1612,,CARLOS PRATES,30710-020,GASOLINA,01/01/2025,"5,99",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO TRANCOSO LTDA,03.911.603/0001-33,RUA JOSE CLETO,1232,,SANTA CRUZ,31155-290,GASOLINA,01/01/2025,"5,99",,R$ / litro,VIBRA
SE,MG,BELO HORIZONTE,POSTO ITAPOA LTDA,17.488.693/0001-06,AVENIDA AMAZONAS,2994,,BARROCA,30410-000,GASOLINA,01/01/2025,"5,99",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO MUSTANG LTDA,17.333.899/0001-67,RUA JOAQUIM MURTINHO,9,,SANTO ANTONIO,30350-050,GASOLINA,01/01/2025,"6,49",,R$ / litro,VIBRA
SE,MG,BELO HORIZONTE,POSTO PONTE NOVA LTDA,17.159.880/0001-46,AVENIDA NOSSA SENHORA DO CARMO,450,,SAO PEDRO,30330-000,GASOLINA,01/01/2025,"6,59",,R$ / litro,RAIZEN
