Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira
SE,MG,BELO HORIZONTE,AGUIA IV COMERCIO DE COMBUSTIVEIS LTDA,07.946.419/0001-80,RUA PARA DE MINAS,320,,PADRE EUSTAQUIO,30730-440,GASOLINA,03/01/2023,"4,99",,R$ / litro,ALESAT
SE,MG,BELO HORIZONTE,AUTO POSTO VALE LTDA,02.369.525/0001-24,AVENIDA VILARINHO,1146,,VENDA NOVA,31615-250,GASOLINA,02/01/2023,"4,89",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO POETA LTDA,05.577.012/0001-05,AVENIDA DOM PEDRO I,2355,,SAO JOAO BATISTA,31515-300,GASOLINA,02/01/2023,"5,07",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO WAP AMAZONAS LTDA.,06.041.725/0001-04,AVENIDA AMAZONAS,5234,,NOVA SUISSA,30421-056,GASOLINA,04/01/2023,"4,95",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO VILA NOSSA SENHORA DE FATIMA LTDA,05.462.748/0001-20,AVENIDA NOSSA SENHORA DE FATIMA,"2,401",,CARLOS PRATES,30710-020,GASOLINA,02/01/2023,"5,79",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO ALLGAS LTDA,05.351.360/0001-51,AVENIDA SARAMENHA,1632,,GUARANI,31840-220,GASOLINA,03/01/2023,"4,99",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO PALHA VERDE LTDA,05.009.866/0001-87,RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,28500,KM    10,JARDIM VITORIA,31975-275,GASOLINA,03/01/2023,"5,09",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO BRUNA LTDA.,00.247.861/0001-79,RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,11333,,DOM BOSCO,30850-453,GASOLINA,03/01/2023,"4,89",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,MARLIN EMPREENDIMENTOS LTDA,02.685.478/0001-28,AVENIDA AMERICO VESPUCIO,501,,APARECIDA,31230-240,GASOLINA,03/01/2023,"4,99",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO BALUARTE LTDA,02.911.786/0001-24,RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,23750,,EYMARD,31910-585,GASOLINA,03/01/2023,"5,09",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO AGUIA COMERCIO DE COMBUSTIVEIS LTDA,00.722.792/0001-08,AVENIDA SARAMENHA,1062,,TUPI,31840-220,GASOLINA,03/01/2023,"4,99",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,L. C. EMPREENDIMENTOS LTDA,00.415.374/0001-78,AVENIDA DIS ENGENHEIROS,1620,,CASTELO,30840-300,GASOLINA,04/01/2023,"4,99",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO JAVARI EIRELI,16.679.276/0001-88,RUA DESCALVADO,661,,RENASCENCA,31130-610,GASOLINA,03/01/2023,"4,75",,R$ / litro,BRANCA
SE,MG,BELO HORIZONTE,POSTO BARBOSA LTDA,17.160.094/0001-69,AVENIDA PRES CARLOS LUZ,2263,,SAO FRANCISCO ASSIS,31250-010,GASOLINA,02/01/2023,"4,89",,R$ / litro,ALESAT
